,Jugador,POS,Equipo,Cotización,CG,AcG,PrG,CT,AcT,PrT,GT,GJ,GC,TL,GP,GV,GO,GR,GE,VF,VI,TA,TR,PE,PA,Fecha,Puntaje
356,"Gómez, Román",DEF,Estudiantes,$ 300.000,12,80,"6,67",14,94,"6,71",1,1,0,0,0,1,0,,0,0,6,2,0,0,,1,
357,"González Pirez, Leandro",DEF,Estudiantes,$ 4.000.000,3,33,"11,00",6,49,"8,17",2,1,1,0,0,0,0,,1,0,2,1,0,0,,1,3
358,"Magdaleno, Matías",DEF,Estudiantes,$ 300.000,1,7,"7,00",1,7,"7,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,
359,"Meza, Eric",DEF,Estudiantes,$ 3.200.000,2,11,"5,50",4,17,"4,25",1,1,0,0,0,1,0,,0,0,3,3,0,0,,1,3
360,"Núñez, Santiago",DEF,Estudiantes,$ 1.800.000,8,51,"6,38",10,57,"5,70",1,0,1,0,0,0,0,,0,0,2,3,1,0,,1,5
361,"Pierani, Valente",DEF,Estudiantes,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
362,"Rodríguez, Facundo",DEF,Estudiantes,$ 1.400.000,11,54,"4,91",12,62,"5,17",0,0,0,0,0,0,0,,0,0,3,3,0,0,,1,
363,"Amondarain, Mikel",VOL,Estudiantes,$ 300.000,9,51,"5,67",9,51,"5,67",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
364,"Ascacíbar, Santiago",VOL,Estudiantes,$ 6.400.000,11,57,"5,18",14,71,"5,07",0,0,0,0,0,0,0,,0,0,,4,0,0,,1,5
365,"Castro, Alexis",VOL,Estudiantes,$ 4.000.000,7,35,"5,00",10,50,"5,00",1,0,1,0,0,0,0,,0,0,,1,1,0,,1,4
366,"Cornejo, Lucas",VOL,Estudiantes,$ 300.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
367,"Farías, Facundo",VOL,Estudiantes,$ 5.200.000,8,40,"5,00",10,47,"4,70",0,0,0,0,0,0,0,,0,0,,4,0,0,,1,2
368,"Medina, Cristian",VOL,Estudiantes,$ 5.700.000,10,57,"5,70",13,71,"5,46",0,0,0,0,0,0,0,,0,1,,3,0,0,,1,5
369,"Neves, Gabriel",VOL,Estudiantes,$ 4.400.000,2,7,"3,50",2,7,"3,50",0,0,0,0,0,0,0,,0,0,,0,1,0,,1,
370,"Palacios, Tiago",VOL,Estudiantes,$ 3.700.000,11,59,"5,36",14,71,"5,07",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,4
371,"Piovi, Ezequiel",VOL,Estudiantes,$ 4.000.000,5,23,"4,60",6,27,"4,50",0,0,0,0,0,0,0,,0,0,,2,0,0,,1,4
372,"Sosa, José",VOL,Estudiantes,$ 2.800.000,5,25,"5,00",6,30,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
373,"Suárez, Leonardo",VOL,Estudiantes,$ 3.100.000,1,4,"4,00",1,4,"4,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
374,"Alario, Lucas",DEL,Estudiantes,$ 5.200.000,4,20,"5,00",5,24,"4,80",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,4
375,"Carrillo, Guido",DEL,Estudiantes,$ 5.000.000,9,54,"6,00",12,77,"6,42",3,3,0,0,0,1,0,,0,1,,1,1,0,,1,4
376,"Cetré, Edwuin",DEL,Estudiantes,$ 3.900.000,9,61,"6,78",12,88,"7,33",3,1,1,0,1,0,0,,0,2,,2,0,0,,1,5
377,"Pérez, Fabricio",DEL,Estudiantes,$ 800.000,7,47,"6,71",7,47,"6,71",1,1,0,0,0,0,0,,0,1,,0,0,0,,1,
378,"Tobio Burgos, Joaquín",DEL,Estudiantes,$ 700.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
